id,sponsor,venue,place,city/town,state/country,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
12463,HOTEL EASTMAN,COMMERCIAL,"HOT SPRINGS, AR",HOT SPRINGS,AR,CARD; 4.75X7.5;,EASTER;,,1900-2822,1900-04-15,Hotel Eastman,,,complete,2,67
12465,NORDDEUTSCHER LLOYD BREMEN,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,DAMPFER KAISER WILHELM DER GROSSE,,CARD; ILLU; COL; 5.5X8.0;,,"MENU IN GERMAN AND ENGLISH; ILLUS, STEAMSHIP AND SAILING VESSEL;",1900-2827,1900-04-16,Norddeutscher Lloyd Bremen,,,complete,2,84
12480,CANADIAN PACIFIC RAILWAY COMPANY,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""","R.M.S. ""EMPRESS OF CHINA""",,CARD; ILLUS; COL; 4.5X7;,,MENU ITEMS NUMBERED; COMPANY FLAG AT TOP OF MENU;,1900-2854,1900-04-18,Canadian Pacific Railway Company,,,complete,2,37
12485,CANADIAN PACIFIC RAILWAY,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,,CARD; 4.5 X 7;,,ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2869,1900-04-19,Canadian Pacific Railway,,,complete,2,36
12501,CUNARD LINE,COMMERCIAL,"R.M.S. ""LUCANIA""","R.M.S. ""LUCANIA""",,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2917,1900-04-23,Cunard Line,,,complete,2,97
12505,BARTHOLDI HOTEL,COMMERCIAL,",NY",,NY,BROADSIDE; COL; 7 X 11.75;,DAILY,VERY POOR CONDITION;,1900-1137,1900-02-18,Bartholdi Hotel,Dollars,$,complete,2,203
12530,RED STAR LINE,COMMERCIAL,SS WESTERNLAND,SS WESTERNLAND,,CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,VIOLET SCRIPT PRINTED MENU; MARITIME SCENE ON MENU;,1900-2148,1900-02-26,Red Star Line,,,complete,2,16
12573,MAXWELL HOUSE,COMMERCIAL,"NASHVILLE, TN",NASHVILLE,TN,CARD; ILLUS; 4.25X6.25;,,ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2404,1900-03-13,Maxwell House,,,complete,4,0
12574,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,COMMERCIAL,SS COPTIC,SS COPTIC,,BROADSIDE; ILLUS; 5.5X8.5;,,HANDWRITTEN IN LAVENDAR INK; COMPANY FLAG AT TOP OF MENU;,1900-2410,1900-03-13,Occidental & Oriental Steamship Co.,,,complete,2,24
12703,HOTEL VENDOME,COMMERCIAL,"BOSTON, MA",BOSTON,MA,BROADSIDE; HOTEL EMBLEM; 5 X 7;,DAILY,"HOURS FOR BREAKFAST,LUNCH,DINNER & TEA LISTED;",1900-2636,1900-04-01,Vendome Hotel,,,complete,2,78
12706,CROMWELL STEAMSHIP COMPANY,COMMERCIAL,EN ROUTE,EN ROUTE,,BROADSIDE; COL;4.5 X 7.5;,DAILY,ALL HANDWRITTEN;,1900-2641,1900-04-01,Cromwell Steamship Company,,,complete,2,19
12722,JOHN WANAMAKER,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; 4.75X8.25;,,DATE HAND-WRITTEN [FEB?];,1900-3271,1900-05-14,John Wanamaker,,,complete,2,40
12725,PACIFIC MAIL STEAMSHIP COMPANY,COMMERCIAL,SS RIO DE JANEIRO,SS RIO DE JANEIRO,,BROADSIDE; 5.75X8.75;,,,1900-3284,1900-05-15,Pacific Mail Steamship Company,,,complete,2,19
12739,U.S.M.S. NEW YORK,COMMERCIAL,,,,CARD;ILL;COL;4X6.25;,DAILY;,FLAG WITH BIRD UPPER LEFT;,1900-1181,1900-02-21,Usms New York,,,complete,2,27
12757,PACIFIC MAIL STEAMSHIP CO.,COMMERCIAL,"PANAMA LINE,CITY OF PARA",CITY OF PARA,,BROADSIDE;5.5X8.5;,DAILY;,,1900-2934,1900-04-23,Pacific Mail Steamship Co.,,,complete,2,18
12790,Pennsylvania Railroad,COMMERCIAL,PULLMAN SERVICE EN ROUTE,PULLMAN SERVICE EN ROUTE,,BROADSIDE; COL; 5.25X7.25;,,,1900-1031,1900-02-13,Pennsylvania Railroad,,,complete,2,26
12833,RED STAR LINE - S.S.WESTERNLAND,COMMERCIAL,EN ROUTE,EN ROUTE,,BROADSIDE; ILLUS; COL; 5 X 8;,DAILY;,MENU HANDWRITTEN;,1900-2209,1900-03-01,Red Star Line   S.S.Westernland,,,complete,2,16
12841,HOTEL MARLBOROUGH,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;ILL;COL;7X11;,DAILY;,COAT OF ARMS;DATE HANDWRITTEN BY FB;,1900-2226,1900-03-02,Hotel Marlborough,Dollars,$,complete,2,317
12846,HOTEL JERMYN,COMMERCIAL,"SCRANTON, PA",SCRANTON,PA,CARD; 5.5 X 7.25;,,LISTING OF BOTTLED SAUCES AVAILABLE;,1900-2428,1900-03-14,Hotel Jermyn,,,complete,2,125
12903,HOTEL EMPIRE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,BROADSIDE; HOTEL SEAL; COL; 6.75 X 9.5;,DAILY,,1900-1040,1900-02-13,Empire Hotel,Dollars,$,complete,2,172
12911,R.M.S. OCEANIC,COMMERCIAL,EN ROUTE,EN ROUTE,,BROADSIDE; GOLD TRIM; 3.5 X 5;,DAILY,,1900-1057,1900-02-13,R.M.S. Oceanic,,,complete,2,25
12918,USMS ST LOUIS,COMMERCIAL,USMS ST LOUIS,USMS ST LOUIS,,CARD;ILL;COL;4X6.25;,DAILY;,FLAG WITH BIRD IN BLUE UPPER LEFT;,1900-1069,1900-02-14,Usms St Louis,,,complete,2,28
12950,BALTIMORE AND OHIO RR ROYAL BLUE LINE,COMMERCIAL,CAR LIVIUS,CAR LIVIUS,,CARD;5.75X6.5;,DAILY;,DATE HANDWRITTEN BY FB;,1900-3052,1900-05-01,Baltimore And Ohio Rr Royal Blue Line,,,complete,2,34
12966,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,COMMERCIAL,SS COPTIC,SS COPTIC,,BROADSIDE; ILLUS; COL; 5.5X8.5;,,STEAMSHIP FLAG AT TOP; HANDWRITTEN IN LAVENDAR INK;,1900-2252,1900-03-03,Occidental & Oriental Steamship Company,,,complete,2,26
12979,MANHATTAN CLUB,COMMERCIAL,",NY",,NY,FOLDER; 6 X 9.5;,,,1900-2477,1900-03-15,Manhattan Club,Dollars,$,complete,4,271
12984,ARLINGTON HOTEL,COMMERCIAL,"TORONTO,CANADA",TORONTO,CANADA,CARD;ILL;COL;5X7;,DAILY;,COAT OF ARMS;,1900-2485,1900-03-16,Arlington Hotel,,,complete,2,60
13013,HOTEL SAVOY,COMMERCIAL,FIFTH AVENUE & FIFTY-NINTH STREET;,FIFTH AVENUE & FIFTY-NINTH STREET,,CARD; COL; 5.5X7.25;,,PRICED MENU; DATE HAND-WRITTEN [BY FEB?]; PRINTED IN GREEN; CREST WITH EAGLE;,1900-3093,1900-05-04,Hotel Savoy,Dollars,$,complete,2,100
13028,PRINCESS HOTEL,COMMERCIAL,BERMUDA,BERMUDA,,CARD; ILLUS; 5X7.5;,,COFFEEPOT & CUP AT TOP OF MENU; [DATE INFO SUPPLED BY FEB];,1900-2272,1900-03-04,Princess Hotel,,,complete,2,56
13043,CHILDS' LUNCH ROOMS,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARE; 4.25X8.0;,,"THIS MENU SAYS: ""CHILDS' LUNCH ROOMS THROUGHOUT THE CITY; BILL OF FARE FOR 54 BEAVER ST."" ; 17 ADDITIONAL LOCATIONS IN NEW YORK CITY LISTED; 1 LOCATION IN NEW HAVEN, CT; 5 LOCATIONS IN PHILADELPHIA, PA; NOTATION: ""MILK EXPRESSED FROM OUR OWN DAIRY EVERY M",1900-2518,1900-01-01,Childs' Lunch Rooms,Dollars,$,complete,2,41
13061,U.S.M.S.,NAV;,"""ST.LOUIS""",ST. LOUIS,,BROADSIDE; ILLUS; COL; 4X6.25;,,SERVICE FLAG AT TOP OF MENU;,1900-1109,1900-02-16,U.S.M.S,,,complete,2,28
13070,RED STAR LINE - S.S. SOUTHWARK,COMMERCIAL,EN ROUTE,EN ROUTE,,BROADSIDE; ILLUS; COL; 5 X 8;,DAILY,ALL FOOD ITEMS HANDWRITTEN;,1900-2080,1900-02-23,Red Star Line   S.S. Southwark,,,complete,2,20
13115,QUEBEC STEAMSHIP CO. - SS TRINIDAD,COMMERCIAL,EN ROUTE,EN ROUTE,,BROADSIDE; FLAG ILLUS; 5.25 X 8.5;,DAILY,MENU HANDWRITTEN;,1900-2337,1900-03-07,Quebec Steamship Co.   Ss Trinidad,,,complete,2,29
13119,Hotel Majestic,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; 5.5X8.5;,,"LOGO PRINTED IN PURPLE:  LION AND BULL RAMPANT, SHIELD WITH ""MAJESTIC"" ON DIAGONAL, SURMOUNTED WITH CROWN;",1900-2537,1900-03-21,Hotel Majestic,Dollars,$,complete,2,118
13136,MURRAY HILL HOTEL,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD;ILL;COL;4.25X6.5;,EASTER;,PRESENTED BY CATHARINE B.ALSOP LEFFINGWELL WRITTEN ON BACK;,1900-2791,1900-04-15,Murray Hill Hotel,Dollars,$,complete,2,55
13148,GORDON HOTEL,COMMERCIAL,"WASHINGTON, D.C.",WASHINGTON,D.C.,BROADSIDE; ILLUS; COL; 5 X 8.5;,DAILY,,1900-3217,1900-05-10,Gordon Hotel,,,complete,2,98
13186,HOTEL DENNIS,COMMERCIAL,"ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,BROADSIDE; ILLUS; COL; 5.5X7.0;,EASTER;,GRAY PAPER; WHITE BORDER; SPRAY OF VIOLETS;,1900-2815,1900-04-15,Hotel Dennis,,,complete,2,62
13203,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,COMMERCIAL,ON BOARD SS NORTH WEST,ON BOARD SS NORTH WEST,,FOLDER; ILLUS; 7.0X11.0;,,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3885,1900-01-01,Northern Steamship Company/Great Northern Ry Line.,Dollars,$,complete,4,156
