id,sponsor,venue,place,city/town,state/country,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
12464,REPUBLICAN HOUSE,COMMERCIAL,"MILWAUKEE, WI",MILWAUKEE,WI,CARD; ILLUS; COL; 7.0X9.0;,EASTER;,"WEDGEWOOD BLUE CARD; WHITE EMBOSSED GREEK KEY BORDER; ""EASTER SUNDAY"" EMBOSSED IN WHITE; VIOLET COLORED SPRAY OF FLOWERS IN UPPER LEFT CORNER;",1900-2825,1900-04-15,Republican House,,,under review,2,34
12467,NORDDEUTSCHER LLOYD BREMEN,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,DAMPFER KAISER WILHELM DER GROSSE,,FOLDER; ILLU; COL; 5.5X7.5;,,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH ROCKS AND LIGHTHOUSE; STEAMSHIP AND SAILING VESSELS; CONCERT PROGRAM; DATES:  ON GERMAN SIDE OF MENU ""MONTAG, DEN 16 APRIL 1900""; ON ENGLISH SIDE OF MENU ""MONDAY, APRIL 15TH, 1900"";",1900-2829,1900-04-16,Norddeutscher Lloyd Bremen,,,complete,4,33
12468,CANADIAN PACIFIC RAILWAY COMPANY,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""","R.M.S. ""EMPRESS OF CHINA""",,CARD; ILLUS; COL; 4.75X7.25;,,"ILLUS, RED AND WHITE CHECKERED FLAG;",1900-2831,1900-04-16,Canadian Pacific Railway Company,,,complete,2,37
12475,Hotel Manhattan,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; 6X9.5;,,A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;,1900-2847,1900-04-18,Manhattan Hotel,Dollars,$,complete,2,176
12479,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,COMMERCIAL,SS DORIC,SS DORIC,,FOLDER; ILLUS; 5.5X8.5;,,HANDWRITTEN; MARITIME INSIGNIA ON COVER;,1900-2852,1900-04-18,Occidental & Oriental Steamship Company,,,complete,4,44
12482,NOVIOMAGUS,,"LONDON, ENGLAND",LONDON,ENGLAND,CARD; 4.25X6.25;,,FRENCH; [LOCATION INFO HANDWRITTEN ON BACK OF MENU];,1900-2856,1900-04-18,Noviomagus,,,complete,2,16
12486,HOTEL SAVOY,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; ILLUS; COL; 3.25 X 8.5;,,FRENCH; ILLUSTRATION OF MAN AND WOMAN IN COLONIAL DRESS;,1900-2872,1900-04-19,Hotel Savoy,,,complete,2,15
12490,Hotel Imperial,COMMERCIAL,"VIENNA, AUSTRIA",VIENNA,AUSTRIA,CARD; ILLUS; COL; 4.5 X 8;,,GERMAN; WINES; ILLUSTRATION OF WOMAN'S HEAD; FLORAL BORDER;,1900-2882,1900-04-20,Hotel Imperial,,,complete,2,16
12492,WILSON COLLEGE ALUMNAE ASSOCIATION,EDUC;,HOEL FLANDERS,HOEL FLANDERS,,"BOOKLET, ILLUS; COL; 5 X 6.25;",ANNIVERSARY;,"PORTRAIT OF HEAD OF COLONIAL WOMAN; SPEECHES; PALE BLUE, WHITE RIBBONS;",1900-2890,1900-04-20,Wilson College Alumnae Association,,,complete,10,14
12495,VETERANS AMERICAN GUARD,MIL;,ST. DENNIS HOTEL,ST. DENNIS HOTEL,,BOOKLET; ILLUS; 4 X 5.5;,ANNIVERSARY;,EMBOSSED LOGO ON COVER; SPEECHES;,1900-2893,1900-04-20,Veterans American Guard,,,complete,8,20
12497,CUNARD LINE,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,EN ROUTE ABOARD R.M.S. LUCANIA,,CARD; 4.25 X 6.5;,,CUNARD LINE LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;,1900-2902,1900-04-21,Canadian Pacific Railway Company,,,complete,2,38
12498,CAFE BOULEVARD,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; COL; ILLUS; 5 X 7;,,PRIX FIXE DINNER; FOOD APPEARS TO BE HUNGARIAN;PALE BLUE; ORNAMENTAL BORDER;,1900-2903,1900-04-22,Cafe Boulevard,Cents,c,complete,2,17
12500,MORNING NEWSPAPER BOWLING LEAGUE,SOC;,MOUQUIN'S,MOUQUIN'S,,CARD;COL;4X6.5;,ANNIVERSARY;,,1900-2911,1900-04-22,Morning Newspaper Bowling League,,,complete,2,23
